##MAIN
name                Lee
type                player

##LIFE
health                800

##POWER
offense             1 #SCRIPT

##SPEED
speed                1 #SCRIPT

##JUMP
jumpheight             1 #SCRIPT

##GRAB
grabdistance         33 #36/33/30
grabfinish             0 #PLAYER=0/ENEMY=1

##ENERGY
mp                    120
mprate              5 #SCRIPT

##WEIGHT/HEIGHT
antigravity            -1 #-1/-2/-3
height                81

##MISC
jugglepoints        50
guardpoints            20
guardrate            5
risetime            170
riseinv                0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv                2 0
atchain                1 2 3 4 5
weapons                none none none none
gfxshadow            1 1
dust                Dust
noquake                1 0
bflash                Block
death                1

##SCRIPTS
didblockscript        data/scripts/didblock/default.c
didhitscript        data/scripts/didhit/lee.c
ondoattackscript    data/scripts/ondoattack/default.c
onblockpscript        data/scripts/onblockp/default.c
onblockwscript        data/scripts/onblockw/jumping.c
onblocksscript        data/scripts/onblocks/jumping.c
onmoveascript        data/scripts/onmove/default.c
onmodelcopyscript    data/scripts/onmodelcopy/default.c
ondrawscript        data/scripts/ondraw/lee.c
onspawnscript        data/scripts/onspawn/player.c
onfallscript        data/scripts/onfall/default.c
onpainscript        data/scripts/onpain/default.c
animationscript         data/scripts/animation/default.c
keyscript            data/scripts/key/lee.c
takedamagescript    data/scripts/takedamage/default.c
script                data/scripts/updateentity/lee.c

##ICONS
icon                data/chars/bosses/lee/icon.png 1

##DIESOUND
diesound data/voices/lee23.wav
ondeathscript        data/scripts/ondeath/default.c


##REMAPS
palette       data/chars/bosses/lee/idle25.png
alternatepal  data/chars/bosses/lee/alter1.png
alternatepal  data/chars/bosses/lee/alter2.png
alternatepal  data/chars/bosses/lee/alter3.png
alternatepal  data/chars/bosses/lee/alter4.png

##COMMANDS
com                 a2    a2        freespecial        #RAGE
com                 d f a2        freespecial        #RAGE
com                 a2 + s        freespecial        #RAGE
com                 f f a2        freespecial2    #SUPER

##LOADS
load                LeeS

## DEFAULT ANIMATIONS #########################################################################

anim spawn
    loop    0
    delay    1
    offset    240 180
    frame    data/chars/bosses/lee/idle00.png

anim waiting
    loop    1
    delay    24
    offset    240 180
    bbox     226 98 28 81
    frame    data/chars/bosses/lee/idle20.png
    frame    data/chars/bosses/lee/idle21.png
    frame    data/chars/bosses/lee/idle22.png
    frame    data/chars/bosses/lee/idle23.png
    frame    data/chars/bosses/lee/idle24.png
    @cmd looper 0 9
    frame    data/chars/bosses/lee/idle25.png
    delay    16
    frame    data/chars/bosses/lee/idle00.png
    frame    data/chars/bosses/lee/idle01.png
    frame    data/chars/bosses/lee/idle02.png
    frame    data/chars/bosses/lee/idle03.png
    frame    data/chars/bosses/lee/idle04.png
    frame    data/chars/bosses/lee/idle05.png
    frame    data/chars/bosses/lee/idle06.png
    sound    data/voices/lee16.wav
    frame    data/chars/bosses/lee/idle07.png
    frame    data/chars/bosses/lee/idle08.png
    frame    data/chars/bosses/lee/idle09.png
    frame    data/chars/bosses/lee/idle10.png
    delay    2
    frame    data/chars/bosses/lee/idle11.png
    frame    data/chars/bosses/lee/idle12.png
    frame    data/chars/bosses/lee/idle13.png
    frame    data/chars/bosses/lee/idle14.png
    frame    data/chars/bosses/lee/idle15.png
    @cmd looper 16 4
    frame    data/chars/bosses/lee/idle16.png
    delay    20
    bbox     227 105 30 74
    frame    data/chars/bosses/lee/idle17.png
    frame    data/chars/bosses/lee/idle18.png
    frame    data/chars/bosses/lee/idle19.png
    frame    data/chars/bosses/lee/idle20.png
    frame    data/chars/bosses/lee/idle21.png
    frame    data/chars/bosses/lee/idle22.png
    frame    data/chars/bosses/lee/idle23.png
    frame    data/chars/bosses/lee/idle24.png
    frame    data/chars/bosses/lee/idle25.png
    delay    16
    bbox     227 110 30 70
    frame    data/chars/bosses/lee/win000.png
    frame    data/chars/bosses/lee/win001.png
    bbox     225 118 35 63
    frame    data/chars/bosses/lee/win002.png
    bbox     234 126 30 55
    frame    data/chars/bosses/lee/win003.png
    frame    data/chars/bosses/lee/win004.png
    frame    data/chars/bosses/lee/win005.png
    bbox     226 119 30 60
    frame    data/chars/bosses/lee/win006.png
    bbox     227 100 30 80
    frame    data/chars/bosses/lee/win007.png
    bbox     223 99 30 80
    frame    data/chars/bosses/lee/win008.png
    bbox     206 107 30 70
    frame    data/chars/bosses/lee/win009.png
    bbox     200 119 30 60
    sound    data/sounds/Iron5.wav
    frame    data/chars/bosses/lee/win010.png
    frame    data/chars/bosses/lee/win011.png
    frame    data/chars/bosses/lee/win012.png
    frame    data/chars/bosses/lee/win013.png
    bbox     213 99 30 80
    frame    data/chars/bosses/lee/win014.png
    bbox     234 99 30 80
    frame    data/chars/bosses/lee/win015.png
    bbox     256 109 30 70
    frame    data/chars/bosses/lee/win016.png
    bbox     266 120 30 60
    sound    data/sounds/Iron5.wav
    frame    data/chars/bosses/lee/win017.png
    frame    data/chars/bosses/lee/win018.png
    frame    data/chars/bosses/lee/win019.png
    frame    data/chars/bosses/lee/win020.png
    bbox     223 100 30 80
    frame    data/chars/bosses/lee/win021.png
    frame    data/chars/bosses/lee/win022.png
    bbox     226 99 30 80
    frame    data/chars/bosses/lee/win023.png
    frame    data/chars/bosses/lee/win024.png
    frame    data/chars/bosses/lee/win025.png
    sound    data/sounds/Clash5.wav
    frame    data/chars/bosses/lee/win026.png
    frame    data/chars/bosses/lee/win027.png
    frame    data/chars/bosses/lee/win028.png
    frame    data/chars/bosses/lee/win029.png
    frame    data/chars/bosses/lee/win030.png


anim idle
    loop    1
    delay    24
    offset    240 180
