##MAIN
name                ParticleB
type                enemy

##LIFE
health                1 #SCRIPT

##POWER
offense             1 #SCRIPT

##SPEED
speed                1 #SCRIPT

##JUMP
jumpheight             1 #SCRIPT

##ENERGY
mp                    120
mprate              1 #SCRIPT

##GRAB
grabdistance         33 #36/33/30
grabfinish             1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity            -3 #-1/-2/-3
height                92

##MISC
jugglepoints        50
guardpoints            20
guardrate            5
risetime            170
riseinv                0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv                2 0
atchain                1
weapons                none none none none
gfxshadow            1 1
dust                Dust
noquake                1 0
bounce                1
aimove                chase #ENEMY ONLY
escapehits            2 #ENEMY ONLY
death                2
noatflash             1
flash                Flash
blockodds             1
bflash                Block
nopassiveblock        1

##SCRIPTS
didblockscript        data/scripts/didblock/default.c
didhitscript        data/scripts/didhit/default.c
ondoattackscript    data/scripts/ondoattack/default.c
onblockpscript        data/scripts/onblockp/default.c
onblockwscript        data/scripts/onblockw/default.c
onblocksscript        data/scripts/onblocks/default.c
onmoveascript        data/scripts/onmove/default.c
ondrawscript        data/scripts/ondraw/particle.c
onspawnscript        data/scripts/onspawn/particle.c
animationscript         data/scripts/animation/default.c
takedamagescript    data/scripts/takedamage/armor_robots.c
thinkscript            data/scripts/think/default.c
script                data/scripts/updateentity/particle.c

##ICONS
icon                data/chars/bosses/particle/icon.png 1

##DIESOUND
diesound            data/voices/Die5.wav
ondeathscript        data/scripts/ondeath/default.c

##REMAPS
remap                data/chars/bosses/particle/idle00.png data/chars/bosses/particle/alter1.png
remap                data/chars/bosses/particle/idle00.png data/chars/bosses/particle/alter2.png
remap                data/chars/bosses/particle/idle00.png data/chars/bosses/particle/alter3.png
remap                data/chars/bosses/particle/idle00.png data/chars/bosses/particle/alter3.png
remap                data/chars/bosses/particle/idle00.png data/chars/bosses/particle/alter1.png

##LOADS
load                Particle_Laser
load                Particle_LaserR
load                Particle_LaserR_B
load                ParticleS

## DEFAULT ANIMATIONS #########################################################################

anim spawn
    loop    0
    delay    1
    offset    143 192
    frame    data/chars/bosses/particle/idle00.png

anim idle
    loop    1
    delay    8
    offset    143 192
    bbox     129 102 28 92
    frame    data/chars/bosses/particle/idle00.png
    frame    data/chars/bosses/particle/idle00.png
    frame    data/chars/bosses/particle/idle00.png
    frame    data/chars/bosses/particle/idle01.png

anim walk
    loop    1
    delay    4
    offset    143 192
    bbox     133 109 28 85
    sound    data/sounds/Run4.wav
    frame    data/chars/bosses/particle/walk00.png
    frame    data/chars/bosses/particle/walk01.png
    frame    data/chars/bosses/particle/walk00.png
    frame    data/chars/bosses/particle/walk01.png

anim run
    loop    1
    delay    4
    offset    143 192
    bbox     133 109 28 85
    sound    data/sounds/Run4.wav
    frame    data/chars/bosses/particle/walk00.png
