##MAIN
name				ShivaB
type				enemy

##LIFE
health				1 #SCRIPT

##POWER
offense 			1 #SCRIPT

##SPEED
speed				1 #SCRIPT

##JUMP
jumpheight 			1 #SCRIPT

##ENERGY
mp					120
mprate  			1 #SCRIPT

##GRAB
grabdistance 		33 #36/33/30
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-2 #-1/-2/-3
height				80

##MISC
jugglepoints		50
guardpoints			20
guardrate			5
risetime			170
riseinv				0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv				2 0
atchain				1 2 3
weapons				none none none none
gfxshadow			1 1
dust				Dust
noquake				1 0
bounce				1
aimove				chase #ENEMY ONLY
escapehits			2 #ENEMY ONLY
blockodds 			1
bflash				Block
nopassiveblock		1
death				2

##SCRIPTS
didblockscript		data/scripts/didblock/default.c
didhitscript		data/scripts/didhit/shiva.c
ondoattackscript	data/scripts/ondoattack/default.c
onblockpscript		data/scripts/onblockp/default.c
onblockwscript		data/scripts/onblockw/default.c
onblocksscript		data/scripts/onblocks/default.c
onmoveascript		data/scripts/onmove/default.c
ondrawscript		data/scripts/ondraw/shiva.c
onfallscript		data/scripts/onfall/default.c
onspawnscript		data/scripts/onspawn/shiva.c
animationscript	 	data/scripts/animation/default.c
takedamagescript	data/scripts/takedamage/default.c
thinkscript			data/scripts/think/shiva.c
script				data/scripts/updateentity/shiva.c

##ICONS
icon				data/chars/bosses/shiva/icon.png 1

##DIESOUND
diesound			data/voices/BossDie1.wav
ondeathscript		data/scripts/ondeath/default.c

##REMAPS
remap				data/chars/bosses/shiva/idle00.png data/chars/bosses/shiva/alter1.png
remap				data/chars/bosses/shiva/idle00.png data/chars/bosses/shiva/alter2.png
remap				data/chars/bosses/shiva/idle00.png data/chars/bosses/shiva/alter3.png
remap				data/chars/bosses/shiva/idle00.png data/chars/bosses/shiva/alter4.png
remap				data/chars/bosses/shiva/idle00.png data/chars/bosses/shiva/alter1.png

##LOADS
load				ShivaS
load				Shiva_Double

## DEFAULT ANIMATIONS #########################################################################

anim spawn
	loop	0
	delay	1
	offset	138 192
	frame	data/chars/bosses/shiva/wait00.png

anim idle
	loop	1
	delay	16
	offset	138 192
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/idle00.png
	frame	data/chars/bosses/shiva/idle01.png
	frame	data/chars/bosses/shiva/idle02.png

anim walk
	loop	1
	delay	14
	offset	138 192
	bbox 	128 114 18 80
	frame	data/chars/bosses/shiva/walk00.png
	frame	data/chars/bosses/shiva/walk01.png
	frame	data/chars/bosses/shiva/walk02.png
	frame	data/chars/bosses/shiva/walk03.png
	frame	data/chars/bosses/shiva/walk04.png
	frame	data/chars/bosses/shiva/walk05.png

anim backwalk
	loop	1
	delay	14
	offset	138 192
	bbox 	128 114 18 80
