##MAIN
name                SOR3_Shiva
type                npc
subtype            chase

##LIFE
health                800

##POWER
offense             1 #SCRIPT

##SPEED
speed                1 #SCRIPT

##JUMP
jumpheight             1 #SCRIPT

##ENERGY
mp                    120
mprate              1 #SCRIPT

##GRAB
grabdistance         30 #36/33/30
grabfinish             1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity            -2 #-1/-2/-3
height                80

##MISC
jugglepoints        50
guardpoints            20
guardrate            5
risetime            170
riseinv                0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv                2 0
atchain                1 1 2 3
weapons                none none none none
modelflag            3
gfxshadow            1 1
dust                Dust
noquake                1 0
bounce                1
aimove                chase #ENEMY ONLY
escapehits            2 #ENEMY ONLY
blockodds             1
bflash                Block
nopassiveblock        1
death                1

##SCRIPTS
didblockscript        data/scripts/didblock/default.c
didhitscript        data/scripts/didhit/shivabot.c
ondoattackscript    data/scripts/ondoattack/default.c
onblockpscript        data/scripts/onblockp/default.c
onblockwscript        data/scripts/onblockw/default.c
onblocksscript        data/scripts/onblocks/default.c
onmoveascript        data/scripts/onmove/default.c
ondrawscript        data/scripts/ondraw/shivabot.c
onfallscript        data/scripts/onfall/default.c
onspawnscript        data/scripts/onspawn/partner.c
ondeathscript        data/scripts/ondeath/partner.c
animationscript         data/scripts/animation/default.c
takedamagescript    data/scripts/takedamage/default.c
thinkscript            data/scripts/think/partner.c
script                data/scripts/updateentity/shivabot.c

##ICONS
icon                data/chars/bosses/shivabot/icon.png 1

##DIESOUND
diesound            data/voices/BossDie2.wav
ondeathscript        data/scripts/ondeath/default.c

##REMAPS
remap                data/chars/bosses/shivabot/idle00.png data/chars/bosses/shivabot/alter1.png
remap                data/chars/bosses/shivabot/idle00.png data/chars/bosses/shivabot/alter2.png
remap                data/chars/bosses/shivabot/idle00.png data/chars/bosses/shivabot/alter3.png
remap                data/chars/bosses/shivabot/idle00.png data/chars/bosses/shivabot/alter4.png
