name                Tracker_LaserR_B
type                none
health                1
nolife                1
lifespan            2
offscreenkill        50
remove                0
shadow                0
antigravity            100
didhitscript        data/scripts/didhit/default.c
ondrawscript        data/scripts/ondraw/tracker_laser.c
ondoattackscript    data/scripts/ondoattack/default.c

anim idle
    fastattack 1
    jugglecost 0
    forcedirection -1
    otg 1
    hitflash Destruction
    loop    0
    delay    8
    offset    26 26
    hitfx    data/sounds/StrongPunch.wav
    burn 0 20 50 11 36 25 1 0 0 10 12
    seal 1 1
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
    frame    data/chars/bosses/tracker/laser/original/laser00.png
