name				Bongo_Fire
type				none
health				1
nolife				1
remove				0
shadow				0
antigravity			100
alpha				1
didhitscript		data/scripts/didhit/default.c
ondoattackscript	data/scripts/ondoattack/default.c
animationscript		data/scripts/animation/default.c
script				data/scripts/updateentity/bongo_fire.c

anim idle
	fastattack 1
	jugglecost 1
	forcedirection -1
	otg 1
	hitflash Burn
	loop	0
	delay	4
	offset	97 153
	sound	data/sounds/Fire2.wav
	burn 88 129 36 28 4 2 0 0 0 12
	frame	data/chars/enemies/bongo/fire/fire00.png
	frame	data/chars/enemies/bongo/fire/fire01.png
	frame	data/chars/enemies/bongo/fire/fire02.png
	frame	data/chars/enemies/bongo/fire/fire03.png
	frame	data/chars/enemies/bongo/fire/fire04.png
	frame	data/chars/enemies/bongo/fire/fire05.png
	frame	data/chars/enemies/bongo/fire/fire06.png
	frame	data/chars/enemies/bongo/fire/fire07.png
	frame	data/chars/enemies/bongo/fire/fire08.png
	frame	data/chars/enemies/bongo/fire/fire09.png
	@cmd suicide
	frame	data/chars/enemies/bongo/fire/empty.png
