##MAIN
name                BruceS
type                none

##MISC
antigravity            100

##SCRIPTS
script                data/scripts/updateentity/channel.c

##REMAPS
remap                data/chars/enemies/bruce/idle00.png data/chars/enemies/bruce/alter1.png
remap                data/chars/enemies/bruce/idle00.png data/chars/enemies/bruce/alter2.png
remap                data/chars/enemies/bruce/idle00.png data/chars/enemies/bruce/alter3.png
remap                data/chars/enemies/bruce/idle00.png data/chars/enemies/bruce/alter4.png
remap                data/chars/enemies/bruce/idle00.png data/chars/enemies/bruce/alter2.png

## DEFAULT ANIMATIONS #########################################################################

anim follow10 #DODGE
    loop    0
    delay    1000
    offset    117 180
    frame    data/chars/enemies/bruce/dodge00.png
    frame    data/chars/enemies/bruce/dodge00.png
    frame    data/chars/enemies/bruce/dodge01.png

anim dodge
    loop    0
    delay    1000
    offset    117 180
    frame    data/chars/enemies/bruce/dodge00.png
    frame    data/chars/enemies/bruce/dodge00.png
    frame    data/chars/enemies/bruce/dodge01.png
