##MAIN
name                Kusanagi_Sit
type                enemy

##LIFE
health                1 #SCRIPT

##POWER
offense             1 #SCRIPT

##SPEED
speed                1 #SCRIPT

##JUMP
jumpheight             1 #SCRIPT

##ENERGY
mp                    100
mprate              5 #SCRIPT

##GRAB
grabdistance         33 #36/33/30
grabfinish             1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity            -1 #-1/-2/-3
height                72

##MISC
jugglepoints        50
guardpoints            20
guardrate            4
risetime            170
riseinv                0 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv                2 0
atchain                1 2
weapons                none Kusanagi_SwordB none Kusanagi_KunaiB
gfxshadow            1 1
dust                Dust
noquake                1 0
aimove                chase #ENEMY ONLY
death                2
blockodds             25
bflash                Block
nopassiveblock        1

##SCRIPTS
didblockscript        data/scripts/didblock/default.c
didhitscript        data/scripts/didhit/kusanagi.c
ondoattackscript    data/scripts/ondoattack/default.c
onblockpscript        data/scripts/onblockp/default.c
onblockwscript        data/scripts/onblockw/default.c
onblocksscript        data/scripts/onblocks/default.c
onmoveascript        data/scripts/onmove/default.c
onfallscript        data/scripts/onfall/default.c
onspawnscript        data/scripts/onspawn/kusanagi.c
onmodelcopyscript    data/scripts/onmodelcopy/default.c
animationscript         data/scripts/animation/default.c
takedamagescript    data/scripts/takedamage/default.c
thinkscript            data/scripts/think/default.c
script                data/scripts/updateentity/kusanagi.c

##ICONS
icon                data/chars/enemies/kusanagi/icon.png 1

##DIESOUND
diesound            data/voices/Die1.wav
ondeathscript        data/scripts/ondeath/default.c

##REMAPS
remap                data/chars/enemies/kusanagi/idle00.png data/chars/enemies/kusanagi/alter1.png
remap                data/chars/enemies/kusanagi/idle00.png data/chars/enemies/kusanagi/alter2.png
remap                data/chars/enemies/kusanagi/idle00.png data/chars/enemies/kusanagi/alter3.png
remap                data/chars/enemies/kusanagi/idle00.png data/chars/enemies/kusanagi/alter4.png
remap                data/chars/enemies/kusanagi/idle00.png data/chars/enemies/kusanagi/alter5.png

##LOADS
load                Kusanagi_Star
load                KusanagiS
load                KusanagiSW1
load                KusanagiSW2
load                Kusanagi_KunaiB
load                Kusanagi_SwordB

## CUSTOM ANIMATIONS ##########################################################################

anim spawn #WAIT SPAWN
    loop    0
    delay    16
    offset    145 181
    @cmd aniChange 0 "ANI_FOLLOW26"
    frame    data/chars/enemies/kusanagi/rise01.png

anim follow26 #WAIT LOOP
    loop    1
    delay    16
    offset    145 181
    bbox     132 136 32 47
    @cmd cancel -999 100 -999 999 -999 999 "ANI_FOLLOW27"
    frame    data/chars/enemies/kusanagi/rise01.png
    frame    data/chars/enemies/kusanagi/rise01.png

anim follow27 #LOOP STOP
    loop    0
    delay    16
    offset    145 181
    bbox     132 136 32 47
    frame    data/chars/enemies/kusanagi/rise01.png

## DEFAULT ANIMATIONS #########################################################################

