##MAIN
name				Blaze_
type				npc
subtype				follow

##LIFE
health				400

##POWER
offense 			1 #SCRIPT

##SPEED
speed				1 #SCRIPT

##JUMP
jumpheight			1 #SCRIPT

##ENERGY
mp					120
mprate  			5 #SCRIPT

##GRAB
grabdistance 		18 #36/33/30
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-1 #-1/-2/-3
height				72

##MISC
jugglepoints		50
guardpoints			20
guardrate			5
risetime			170
riseinv				0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv				2 0
atchain				1 1 2 3
weapons				none none none none
modelflag			3
gfxshadow			1 1
dust				Dust
noquake				1 0
aimove				wander #NPC ONLY
escapehits			2 #NPC ONLY
blockodds 			1
bflash				Block
nopassiveblock		1
death				1

##SCRIPTS
didblockscript		data/scripts/didblock/default.c
didhitscript		data/scripts/didhit/blaze.c
ondoattackscript	data/scripts/ondoattack/default.c
onblockpscript		data/scripts/onblockp/default.c
onblockwscript		data/scripts/onblockw/default.c
onblocksscript		data/scripts/onblocks/default.c
onmoveascript		data/scripts/onmove/default.c
ondrawscript		data/scripts/ondraw/blaze.c
onspawnscript		data/scripts/onspawn/partner.c
ondeathscript		data/scripts/ondeath/partner.c
animationscript	 	data/scripts/animation/default.c
takedamagescript	data/scripts/takedamage/default.c
thinkscript			data/scripts/think/partner.c
script				data/scripts/updateentity/blaze.c

##ICONS
icon				data/chars/heroes/blaze/icon.png 1

##DIESOUND
diesound			data/voices/Blaze1.wav

##REMAPS
remap				data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter1.png
remap				data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter2.png
remap				data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter3.png

##LOADS
load				Blaze_Orb
load				Blaze_Orb_B
load				BlazeS
load				Blaze_Bike_

## DEFAULT ANIMATIONS #########################################################################

anim spawn
	loop	0
	delay	1
	offset	127 179
	frame	data/chars/heroes/blaze/idle00.png

anim idle
	range	0 481
	rangea	-999 999
	rangez	-999 999
	loop	1
	delay	16
	offset	127 179
	bbox 	117 109 19 72
	frame	data/chars/heroes/blaze/idle00.png
	frame	data/chars/heroes/blaze/idle01.png
	frame	data/chars/heroes/blaze/idle02.png
	frame	data/chars/heroes/blaze/idle03.png
	frame	data/chars/heroes/blaze/idle00.png
	frame	data/chars/heroes/blaze/idle01.png
	frame	data/chars/heroes/blaze/idle02.png
	frame	data/chars/heroes/blaze/idle03.png
		delay	12
	@cmd looper 4 9
	frame	data/chars/heroes/blaze/idle04.png
	frame	data/chars/heroes/blaze/idle05.png
	frame	data/chars/heroes/blaze/idle06.png
	frame	data/chars/heroes/blaze/idle07.png
	frame	data/chars/heroes/blaze/idle08.png

anim walk
	loop	1
	delay	14
	offset	127 179
	bbox 	124 107 12 73
	frame	data/chars/heroes/blaze/walk00.png
	frame	data/chars/heroes/blaze/walk01.png
	frame	data/chars/heroes/blaze/walk02.png
	frame	data/chars/heroes/blaze/walk03.png
	frame	data/chars/heroes/blaze/walk04.png
	frame	data/chars/heroes/blaze/walk05.png

anim backwalk
	loop	1
	delay	14
	offset	127 179
	bbox 	124 107 12 73
	frame	data/chars/heroes/blaze/walk05.png
	frame	data/chars/heroes/blaze/walk04.png
	frame	data/chars/heroes/blaze/walk03.png
	frame	data/chars/heroes/blaze/walk02.png
	frame	data/chars/heroes/blaze/walk01.png
	frame	data/chars/heroes/blaze/walk00.png

anim run
	loop	1
	delay	10
	offset	127 179
	bbox 	123 113 17 68
	frame	data/chars/heroes/blaze/run00.png
	frame	data/chars/heroes/blaze/run01.png
	sound	data/sounds/Run.wav
	frame	data/chars/heroes/blaze/run02.png
	frame	data/chars/heroes/blaze/run03.png
	frame	data/chars/heroes/blaze/run04.png
	sound	data/sounds/Run2.wav
	frame	data/chars/heroes/blaze/run05.png

anim get
	loop	0
	delay	16
	offset	127 179
	frame	data/chars/heroes/blaze/get00.png

anim grab
	loop	0
	delay	16
	offset	127 179
	bbox 	114 105 11 76
	@cmd vaultStuck
	frame	data/chars/heroes/blaze/grab00.png

anim grabbed
	loop	0
	delay	8
	offset	127 179
	bbox 	117 118 23 63
	frame	data/chars/heroes/blaze/grabbed00.png

anim land
	loop	0
	delay	30
	offset	127 179
	@cmd landSafe
	sound	data/sounds/Jumping.wav
	frame	data/chars/heroes/blaze/jump00.png
	frame	data/chars/heroes/blaze/jump01.png

anim jumpdelay
	loop	0
	delay	12
	offset	127 179
	bbox 	115 121 21 60
	frame	data/chars/heroes/blaze/jumpdelay00.png

anim walkoff
	loop	0
	delay	30
	offset	127 179
	bbox 	121 107 16 52
	@cmd jump 1
	frame	data/chars/heroes/blaze/jump00.png
	frame	data/chars/heroes/blaze/jump01.png

anim jumpland
	loop	0
	delay	12
	offset	127 179
	bbox 	115 121 21 60
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/blaze/jumpland00.png

anim guardbreak
	loop	0
	delay	4
	offset	127 179
	bbox 	117 118 23 63
	sound	data/sounds/GuardBreak.wav
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
	frame	data/chars/heroes/blaze/grabbed01.png
	frame	data/chars/heroes/blaze/grabbed00.png
