##MAIN
name                BlazeS
type                none

##MISC
antigravity            100

##SCRIPTS
script                data/scripts/updateentity/channel.c

##REMAPS
remap                data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter1.png
remap                data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter2.png
remap                data/chars/heroes/blaze/idle00.png data/chars/heroes/blaze/alter3.png

## DEFAULT ANIMATIONS #########################################################################

anim freespecial #RAGE
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/rage00.png
    frame    data/chars/heroes/blaze/rage01.png
    frame    data/chars/heroes/blaze/rage02.png
    frame    data/chars/heroes/blaze/rage03.png
    frame    data/chars/heroes/blaze/rage04.png
    frame    data/chars/heroes/blaze/rage05.png
    frame    data/chars/heroes/blaze/rage06.png
    frame    data/chars/heroes/blaze/rage04.png
    frame    data/chars/heroes/blaze/rage05.png
    frame    data/chars/heroes/blaze/rage06.png
    frame    data/chars/heroes/blaze/rage07.png
    frame    data/chars/heroes/blaze/rage07.png

anim freespecial2 #SUPER
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/counter04.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter04.png


anim freespecial3 #RAGE Dash
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/rage00.png
    frame    data/chars/heroes/blaze/rage01.png
    frame    data/chars/heroes/blaze/rage02.png
    frame    data/chars/heroes/blaze/rage03.png
    frame    data/chars/heroes/blaze/rage04.png
    frame    data/chars/heroes/blaze/rage05.png
    frame    data/chars/heroes/blaze/rage06.png
    frame    data/chars/heroes/blaze/rage07.png

anim runattack #BLITZ
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/runatk00.png
    frame    data/chars/heroes/blaze/runatk01.png
    frame    data/chars/heroes/blaze/runatk02.png
    frame    data/chars/heroes/blaze/runatk03.png
    frame    data/chars/heroes/blaze/runatk03.png
    frame    data/chars/heroes/blaze/runatk04.png
    frame    data/chars/heroes/blaze/runatk04.png
    frame    data/chars/heroes/blaze/runatk05.png
    frame    data/chars/heroes/blaze/runatk05.png
    frame    data/chars/heroes/blaze/runatk06.png
    frame    data/chars/heroes/blaze/runatk07.png
    frame    data/chars/heroes/blaze/jumpland00.png

anim riseattack
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/dodge00.png
    frame    data/chars/heroes/blaze/dodge01.png
    frame    data/chars/heroes/blaze/dodge02.png
    frame    data/chars/heroes/blaze/dodge03.png
    frame    data/chars/heroes/blaze/dodge04.png
    frame    data/chars/heroes/blaze/dodge05.png


anim follow1 #RAGE STRIKE
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/sword/blitz01.png
    frame    data/chars/heroes/blaze/sword/blitz00.png
    frame    data/chars/heroes/blaze/sword/blitz00.png
    frame    data/chars/heroes/blaze/sword/blitz00.png
    frame    data/chars/heroes/blaze/sword/blitz00.png

anim follow4 #RAGE COMBO
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/rage03.png
    frame    data/chars/heroes/blaze/rage04.png
    frame    data/chars/heroes/blaze/rage05.png
    frame    data/chars/heroes/blaze/special203.png
    frame    data/chars/heroes/blaze/special204.png
    frame    data/chars/heroes/blaze/special205.png
    frame    data/chars/heroes/blaze/special205.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter04.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/a301.png
    frame    data/chars/heroes/blaze/a301.png
    frame    data/chars/heroes/blaze/a302.png
    frame    data/chars/heroes/blaze/a302.png
    frame    data/chars/heroes/blaze/a303.png
    frame    data/chars/heroes/blaze/rage01.png
    frame    data/chars/heroes/blaze/rage02.png
    frame    data/chars/heroes/blaze/rage03.png
    frame    data/chars/heroes/blaze/rage04.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/special207.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/special207.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/special207.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/special207.png
    frame    data/chars/heroes/blaze/special206.png
    frame    data/chars/heroes/blaze/special207.png

anim follow7 #COUNTER
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/block00.png
    frame    data/chars/heroes/blaze/counter04.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter05.png
    frame    data/chars/heroes/blaze/counter05.png


anim follow10 #DODGE
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/dodge00.png
    frame    data/chars/heroes/blaze/dodge01.png
    frame    data/chars/heroes/blaze/dodge02.png
    frame    data/chars/heroes/blaze/dodge03.png
    frame    data/chars/heroes/blaze/dodge04.png
    frame    data/chars/heroes/blaze/dodge05.png

anim dodge
    loop    0
    delay    1000
    offset    127 179
    frame    data/chars/heroes/blaze/dodge00.png
    frame    data/chars/heroes/blaze/dodge01.png
    frame    data/chars/heroes/blaze/dodge02.png
    frame    data/chars/heroes/blaze/dodge03.png
    frame    data/chars/heroes/blaze/dodge04.png
    frame    data/chars/heroes/blaze/dodge05.png
