##MAIN
name				Sammy_
type				npc
subtype				follow

##LIFE
health				400

##POWER
offense 			1 #SCRIPT

##SPEED
speed				1 #SCRIPT

##JUMP
jumpheight 			1 #SCRIPT

##ENERGY
mp					120
mprate  			5 #SCRIPT

##GRAB
grabdistance 		18 #36/33/30
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-1 #-1/-2/-3
height				63

##MISC
jugglepoints		50
guardpoints			20
guardrate			5
risetime			170
riseinv				0.4 1 #HEROES 0.4 - ENEMY 0 - BOSS 0.4
makeinv				2 0
atchain				1 1 2 3
weapons				none none none none
modelflag			3
gfxshadow			1 1
dust				Dust
noquake				1 0
aimove				wander #NPC ONLY
escapehits			2 #NPC ONLY
blockodds 			1
bflash				Block
nopassiveblock		1
death				1

##SCRIPTS
didblockscript		data/scripts/didblock/default.c
didhitscript		data/scripts/didhit/sammy.c
ondoattackscript	data/scripts/ondoattack/default.c
onblockpscript		data/scripts/onblockp/default.c
onblockwscript		data/scripts/onblockw/default.c
onblocksscript		data/scripts/onblocks/default.c
onmoveascript		data/scripts/onmove/default.c
ondrawscript		data/scripts/ondraw/sammy.c
onspawnscript		data/scripts/onspawn/partner.c
ondeathscript		data/scripts/ondeath/partner.c
animationscript	 	data/scripts/animation/default.c
takedamagescript	data/scripts/takedamage/default.c
thinkscript			data/scripts/think/partner.c
script				data/scripts/updateentity/sammy.c

##ICONS
icon				data/chars/heroes/sammy/icon.png 1

##DIESOUND
diesound			data/voices/Sammy1.wav

##REMAPS
remap				data/chars/heroes/sammy/idle00.png data/chars/heroes/sammy/alter1.png
remap				data/chars/heroes/sammy/idle00.png data/chars/heroes/sammy/alter2.png
remap				data/chars/heroes/sammy/idle00.png data/chars/heroes/sammy/alter3.png

##LOADS
load				SammyS
load				Sammy_Bike_

## DEFAULT ANIMATIONS #########################################################################

anim spawn
	loop	0
	delay	1
	offset	153 175
	frame	data/chars/heroes/sammy/idle00.png

anim idle
	range	0 481
	rangea	-999 999
	rangez	-999 999
	loop	1
	delay	12
	offset	153 175
	bbox 	144 115 15 62
	frame	data/chars/heroes/sammy/idle00.png
	frame	data/chars/heroes/sammy/idle01.png
	frame	data/chars/heroes/sammy/idle02.png
	frame	data/chars/heroes/sammy/idle03.png
	frame	data/chars/heroes/sammy/idle00.png
	frame	data/chars/heroes/sammy/idle01.png
	frame	data/chars/heroes/sammy/idle02.png
	frame	data/chars/heroes/sammy/idle03.png
		delay	12
	@cmd looper 4 5
	frame	data/chars/heroes/sammy/idle04.png
	frame	data/chars/heroes/sammy/idle05.png
	frame	data/chars/heroes/sammy/idle06.png
	frame	data/chars/heroes/sammy/idle05.png
	frame	data/chars/heroes/sammy/idle06.png

anim walk
	loop	1
	delay	14
	offset	153 175
	bbox 	141 112 14 64
	frame	data/chars/heroes/sammy/walk00.png
	frame	data/chars/heroes/sammy/walk01.png
	bbox 	144 112 14 64
	frame	data/chars/heroes/sammy/walk02.png
	bbox 	142 112 14 64
	frame	data/chars/heroes/sammy/walk03.png
	bbox 	146 112 14 64
	frame	data/chars/heroes/sammy/walk04.png
	frame	data/chars/heroes/sammy/walk05.png

anim backwalk
	loop	1
	delay	14
	offset	153 175
	bbox 	146 112 14 64
	frame	data/chars/heroes/sammy/walk05.png
	frame	data/chars/heroes/sammy/walk04.png
	bbox 	142 112 14 64
	frame	data/chars/heroes/sammy/walk03.png
	bbox 	144 112 14 64
	frame	data/chars/heroes/sammy/walk02.png
	bbox 	141 112 14 64
	frame	data/chars/heroes/sammy/walk01.png
	frame	data/chars/heroes/sammy/walk00.png

anim run
	loop	1 1 7
	delay	1
	offset	153 175
	bbox 	137 123 17 54
	sound	data/sounds/Slide2.wav
	frame	data/chars/heroes/sammy/run00.png
		delay	12
	frame	data/chars/heroes/sammy/run00.png
	frame	data/chars/heroes/sammy/run01.png
	bbox 	132 134 43 43
	frame	data/chars/heroes/sammy/run02.png
	bbox 	140 123 15 54
	frame	data/chars/heroes/sammy/run03.png
	frame	data/chars/heroes/sammy/run04.png
	bbox 	132 134 43 43
	frame	data/chars/heroes/sammy/run05.png

anim get
	loop	0
	delay	16
	offset	153 175
	frame	data/chars/heroes/sammy/get00.png

anim grab
	loop	0
	delay	16
	offset	153 175
	bbox 	141 111 12 66
	@cmd vaultStuck
	frame	data/chars/heroes/sammy/grab00.png

anim grabbed
	loop	0
	delay	8
	offset	153 175
	bbox 	144 115 17 62
	frame	data/chars/heroes/sammy/grabbed00.png

anim land
	loop	0
	delay	30
	offset	153 175
	@cmd landSafe
	sound	data/sounds/Jumping.wav
	frame	data/chars/heroes/sammy/jump00.png
	frame	data/chars/heroes/sammy/jump01.png

anim jumpdelay
	loop	0
	delay	12
	offset	153 175
	bbox 	144 130 17 47
	frame	data/chars/heroes/sammy/jumpdelay00.png

anim walkoff
	loop	0
	delay	30
	offset	153 175
	bbox 	146 111 13 47
	@cmd jump 1
	frame	data/chars/heroes/sammy/jump00.png
	bbox 	145 122 16 47
	frame	data/chars/heroes/sammy/jump01.png

anim jumpland
	loop	0
	delay	12
	offset	153 175
	bbox 	144 130 17 47
	sound	data/sounds/Jumpland.wav
	frame	data/chars/heroes/sammy/jumpland00.png

anim guardbreak
	loop	0
	delay	4
	offset	153 175
	bbox 	144 115 17 62
	sound	data/sounds/GuardBreak.wav
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
	frame	data/chars/heroes/sammy/grabbed00.png
	frame	data/chars/heroes/sammy/grabbed01.png
