name				Zan_Shot
type				none
health				1
nolife				1
lifespan			2
offscreenkill		50
remove				0
shadow				0
antigravity			100
alpha				1
didhitscript		data/scripts/didhit/zan_shot.c
ondoattackscript	data/scripts/ondoattack/default.c
animationscript		data/scripts/animation/default.c

anim idle
	fastattack 1
	jugglecost 0
	forcedirection -1
	otg 1
	loop	1
	delay	2
	offset	31 35
	hitfx	data/sounds/StrongPunch.wav
	attack 14 21 34 28 9 1 1 0 10 12
	seal 1 1
	frame	data/chars/heroes/zan/shot/shot00.png
	frame	data/chars/heroes/zan/shot/shot01.png
	frame	data/chars/heroes/zan/shot/shot02.png
	frame	data/chars/heroes/zan/shot/shot03.png
	frame	data/chars/heroes/zan/shot/shot04.png
	frame	data/chars/heroes/zan/shot/shot05.png
	frame	data/chars/heroes/zan/shot/shot06.png
	frame	data/chars/heroes/zan/shot/shot07.png
	frame	data/chars/heroes/zan/shot/shot08.png
	frame	data/chars/heroes/zan/shot/shot09.png
	frame	data/chars/heroes/zan/shot/shot10.png
	frame	data/chars/heroes/zan/shot/shot11.png
	frame	data/chars/heroes/zan/shot/shot12.png
	frame	data/chars/heroes/zan/shot/shot13.png
	frame	data/chars/heroes/zan/shot/shot14.png
	frame	data/chars/heroes/zan/shot/shot15.png
	frame	data/chars/heroes/zan/shot/shot16.png
	frame	data/chars/heroes/zan/shot/shot17.png
	frame	data/chars/heroes/zan/shot/shot18.png
	frame	data/chars/heroes/zan/shot/shot19.png
	frame	data/chars/heroes/zan/shot/shot20.png
	frame	data/chars/heroes/zan/shot/shot21.png
	frame	data/chars/heroes/zan/shot/shot22.png
	frame	data/chars/heroes/zan/shot/shot23.png
	frame	data/chars/heroes/zan/shot/shot24.png
	frame	data/chars/heroes/zan/shot/shot25.png
	frame	data/chars/heroes/zan/shot/shot26.png
