loadingbg        data/bgs/loading1.png             1 -81 248 480 999 999 0
background    data/bgs/dojo/dojo/back.png
panel        data/bgs/dojo/dojo/dojo.png
#fglayer        data/bgs/dojo/dojo/dojofront.png 1002 -0.5 0 0 -10 1 1 1 1 1
fglayer        data/bgs/dojo/dojo/dojofront.png 1002 0 0 0 0 0 0 -1 -1 1 6 0 0 0 0 0 1
direction    both
#blocked   1
order            a
scrollspeed 0.5

type            0
settime        0
notime        1
noslow        1
stagenumber        1

spawn1  50 20 0
spawn2  40 30 0
spawn3  60 40 0
spawn4  70 50 0

light        128 -128
at            0

shadowcolor   64_64_64
at             0

shadowalpha 2
at            0


load        Fight 3

spawn        Fight 1
flip        1
coords        -120 0 0
at            0

spawn        knife
flip        0
coords        150 220 0
at            0

spawn        Kunai
flip        0
coords        150 250 0
at            0

spawn        Sword
flip        0
coords        230 220 0
at            0

spawn        Pipe
flip        0
coords        230 250 0
at            0


spawn   DojoX
coords  550 180 0
boss        1
at        0

