loadingbg		data/bgs/loading5.png 			1 -81 248 480 999 999 0
background	data/bgs/sor1/st08/Back01.png
panel		data/bgs/sor1/st08/pn01.png
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order		a
settime		0
stagenumber 8
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300

cameratype 1
cameraoffset 0 -30

#########################################################################################

light		256 -128
at			0

shadowcolor   64_64_64
at             0

shadowalpha 2
at			0

#########################################################################################

load		Stage 3
load		Statue_A 3
load		Vase 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		Vase 1
flip		1
coords		550 200 0
at			25

spawn		Tamer 1
map			4
flip		1
coords		-50 180 0
at			50

spawn		GalsiaB 1
weapon		Knife 1
map			3
flip		1
coords		-50 180 0
at			150

spawn		DonovanB 1
weapon		Pipe 1
map			3
flip		1
coords		-100 180 0
at			250

wait
at			275

group		4 4
at			275

spawn		KusanagiB 1
map			3
weapon	Sword 1
flip		1
coords		-50 180 0
at			275

spawn		BruceB 1
map			4
flip		1
coords		550 220 0
at			275

spawn		BongoX 1
map			3
flip		1
coords		-100 180 0
at			275

spawn		BigBenX 1
map			3
flip		1
coords		600 220 0
at			275

#########################################################################################

group		1000 1000
at			300

spawn		Statue_A 1
flip		1
coords		550 162 0
at			300

spawn		Vase 1
flip		1
coords		600 238 0
at			300

spawn		BasicX3 1
map			3
flip		1
coords		-50 180 0
at			500

spawn		Vase 1
flip		1
coords		-50 200 0
at			600

spawn		BasicX3 1
map			3
flip		1
coords		550 220 0
at			700

spawn		Vase 1
flip		1
coords		550 200 0
at			800

spawn		GalsiaB 1
weapon		Knife 1
map			3
flip		1
coords		-50 180 0
at			1000

spawn		SignalX 1
map			3
flip		1
coords		-50 180 0
at			1100

wait
at			1171

group		4 4
at			1171

spawn		BasicX2 1
map			3
flip		1
coords		-50 180 0
at			1171

spawn		KusanagiB 1
map			4
weapon	Sword 1
flip		1
coords		550 220 0
at			1171

spawn		BasicX2 1
map			3
flip		1
coords		-100 180 0
at			1171

group		1 1
at			1171

spawn		BossX1 1
map			4
flip		1
