loadingbg		data/bgs/loading1.png 			1 -81 248 480 999 999 0
background		data/bgs/sor2/st2a/_empty.png	1 1 0 0 0 0 1 1 0
bglayer			data/bgs/sor2/st2a/bg00.png		0.8 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st2a/bg01.png		0.8 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st2a/bg02.png		0.8 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st2a/bg03.png		0.8 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st2a/bg04.png		0.8 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st2a/bg05.png		0.8 1 0 0 0 0 1 1 1
panel			data/bgs/sor2/st2a/_map.png		none	none
fglayer			data/bgs/sor2/st2a/fg00.png		-150 0 0 0 0 0 0 -1 -1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg01.png		-150 0 0 0 0 0 0 -1 -1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg00.png		-75 0 0 0 0 0 0 -1 -1 1 6 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg01.png		-75 0 0 0 0 0 0 -1 -1 1 6 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber		2
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor2_st2a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

wall		2315 275 0 0 1000 1000 38 5000

#########################################################################################

load		Stage 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		Barrel_A 1
flip		1
coords		200 220 0
at			0

spawn		Barrel_A 1
flip		1
coords		230 240 0
at			0

spawn		Barrel_A 1
flip		1
coords		260 260 0
at			0

spawn		Barrel_A 1
flip		1
coords		240 220 0
at			0

spawn		Barrel_A 1
flip		1
coords		280 250 0
at			0

spawn		Barrel_A 1
flip		1
coords		300 270 0
at			0

spawn		BasicX1 1
map			1
flip		1
coords		600 240 0
at			1

spawn		BasicX1 1
map			1
flip		1
coords		-100 240 0
at			1

spawn		BruceB 1
map			1
flip		1
coords		-100 240 0
at			1


spawn		BasicX1 1
map			1
flip		1
coords		600 240 0
at			50

spawn		BasicX1 1
map			1
flip		1
coords		-100 240 0
at			50

spawn		Moto_Repeat 1
flip		0
coords		-100 240 0
at			100

spawn		Moto_Single 1
flip		0
coords		520 220 0
at			150

