loadingbg        data/bgs/loading2.png             1 -81 248 480 999 999 0
background        data/bgs/sor2/st2b/_empty.png    1 1 0 0 0 0 1 1 0
bglayer            data/bgs/sor2/st2b/bg00.png        0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
bglayer            data/bgs/sor2/st2b/bg01.png        0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
panel            data/bgs/sor2/st2b/_map.png        none    none
fglayer            data/bgs/border.png             1000 1 1 0 0 0 0 -1 -1 1 2
order            a
settime        480
stagenumber        2
spawn1            60 20 300
spawn2            90 40 300
spawn3            120 20 300
spawn4            150 40 300
updatescript    data/scripts/updatelevel/sor2_st2b.c

#########################################################################################

light        128 -128
at            0

shadowalpha 2
at            0

#########################################################################################

wall        0 257 -500 -500 134 0 66 5000

wall        379 257 0 134 634 634 66 5000

#########################################################################################

load        St2_TruckS 3

#########################################################################################

spawn        St2_TruckS 1
flip        1
coords        1 1 0
at            0

spawnscript data/scripts/levelspawn/sample.c
at            0

#########################################################################################

spawn        Box_B 1
flip        1
coords        200 260 0
at            0

spawn        Box_B 1
flip        1
coords        240 260 0
at            0

spawn        Box_B 1
flip        1
coords        450 250 0
at            0

spawn        Box_B 1
flip        1
coords        470 260 0
at            0

spawn        Fog_Wait2 1
map            1
flip        1
coords        120 215 0
at            0

spawn        Fog_Wait2 1
map            1
flip        1
coords        200 215 0
at            0

spawn        Fog_Sit 1
map            1
flip        1
coords        300 215 0
at            0

spawn        Fog_Wait3 1
map            2
weapon        Pipe 1
flip        0
coords        400 215 0
at            0

spawn        Hakuyo_Wait 1
map            0
flip        0
coords        350 240 0
at            0

spawnscript data/scripts/levelspawn/music_random.c
at            0

group        5 5
at            0

spawn        HakuyoB 1
map            1
flip        0
coords        400 240 300
at            0

spawn        BongoB 1
map            1
flip        0
coords        400 240 300
at            0

spawn        BasicX3 1
map            1
flip        0
coords        400 240 300
at            0

spawn        BossX1 1
map            1
flip        0
coords        400 240 300
at            0

spawn        BossX1 1
map            1
2pspawn
flip        0
coords        400 240 300
at            0

spawn        HakuyoX 1
map            1
flip        0
coords        400 240 300
at            0
