loadingbg    data/bgs/loading1.png             1 -81 248 480 999 999 0
background    data/bgs/sor2/st5c/_empty.png    0.8 1 0 0 0 0 1 1 0
bglayer        data/bgs/sor2/st5c/bg00.png        0.8 1 0 0 0 0 -1 1 1 0 1 0 0 0 1
bglayer        data/bgs/sor2/st5c/bg01.png        0.6 1 0 0 0 0 -1 1 1 0 3 0.1 1.2 0 3
panel        data/bgs/sor2/st5c/_map.png        none    none
frontpanel    data/bgs/sor2/st5c/fp00.png
fglayer        data/bgs/border.png             1000 1 1 0 0 0 0 -1 -1 1 2
order        a
settime        480
rock        1
stagenumber 5
spawn1        90 20 300
spawn2        120 40 300
spawn3        150 20 300
spawn4        180 40 300

#########################################################################################

light        128 -128
at            0

shadowalpha 2
at            0

#########################################################################################

wall        0 285 -1000 -1000 65 65 80 5000

wall        2115 285 0 160 1160 1160 80 5000

#########################################################################################

spawn        Box_A 1
flip        1
coords        250 230 0
at            0

spawn        Box_A 1
flip        1
coords        300 230 0
at            0

spawn        Box_A 1
flip        1
coords        650 270 0
at            0

spawn        BasicX1 1
map            3
flip        1
coords        550 230 0
at            0

spawn        BasicX1 1
map            3
flip        1
coords        600 260 0
at            0

spawn        BasicX1 1
map            2
flip        1
coords        550 230 0
at            100

spawn        BasicX1 1
map            2
flip        1
coords        600 260 0
at            100

spawn        BasicX1 1
map            3
flip        1
coords        600 230 0
at            200

wait
at            250

group        4 4
at            240

spawn        JetX 1
flip        1
coords        550 240 0
at            240

spawn        BasicX1 1
map            2
flip        1
coords        600 240 0
at            240

spawn        BongoX 1
map            2
flip        1
coords        -100 240 0
at            240

spawn        BasicX1 1
map            3
flip        1
coords        600 240 0
at            240

spawn        BasicX3 1
map            3
flip        1
coords        -100 240 0
at            240

spawn        BasicX1 1
map            2
flip        1
coords        600 240 0
at            240

spawn        BasicX1 1
map            2
flip        1
coords        -100 240 0
at            240

spawn        BruceB 1
map            3
flip        1
coords        600 240 0
at            240

spawn        BossX1 1
map            4
flip        1
coords        -100 240 0
at            240

#########################################################################################

group        1000 1000
at            260

spawn        FogB 1
map            1
flip        1
coords        600 240 0
at            300

spawn        FogX 1
map            2
flip        1
coords        -100 240 0
at            300

spawn        Fog_Grenadier 1
flip        1
coords        763 216 0
at            300

spawn        Fog_Grenadier 1
flip        1
coords        875 216 0
at            300

spawn        Fog_Grenadier 1
flip        1
coords        1107 216 0
at            300

spawn        Kusanagi_Wait2 1
map            3
weapon        Sword 1
flip        0
coords        950 230 0
at            300

spawn        BruceB 1
map            1
flip        1
coords        600 240 0
at            350


spawn        FogB 1
map            1
flip        1
coords        600 240 0
at            350

spawn        FogX 1
map            2
flip        1
coords        -100 240 0
at            350

wait
at            1000

group        4 4
at            400

spawn        KusanagiB 1
map            2
weapon        Kunai 1
flip        1
coords        -100 240 0
at            400

spawn        KusanagiX 1
map            2
flip        1
coords        600 240 0
at            400

spawn        BruceB 1
map            2
flip        1
coords        600 240 0
at            400

spawn        FogX 1
map            2
flip        1
coords        600 240 0
at            400

spawn        FogB 1
map            3
flip        1
coords        -100 240 0
at            400

spawn        FogX 1
map            2
flip        1
coords        600 240 0
at            400

spawn        FogB 1
map            3
flip        1
coords        -100 240 0
at            400

spawn        BossX1 1
map            3
flip        1
coords        -100 240 0
at            400

spawn        BossX1 1
map            3
2pspawn
flip        1
coords        -100 240 0
at            400

#########################################################################################

group        1000 1000
at            1001

spawnscript data/scripts/levelspawn/music_bear.c
at            1001

spawn        Box_A 1
flip        1
coords        850 270 0
at            1010

spawn        Box_A 1
flip        1
coords        900 270 0
at            1010

spawn        BasicX1 1
map            3
flip        1
