loadingbg		data/bgs/loading2.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st1a/bk00.png		0.8 1 0 0 0 0 -1 1 0
panel			data/bgs/sor3/st1a/_map.png		none	none
frontpanel		data/bgs/sor3/st1a/fp00.png
fglayer			data/bgs/sor3/st1a/fg00.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg01.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg02.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg03.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg04.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg05.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg06.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st1a/fg07.png		-175 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber 	1
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st1a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		Stage 3
load		St1_Chains 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		St1_Chains 1
flip		1
coords		1 180 0
at			0

#########################################################################################

spawn		Gold
flip		1
coords		40 270 0
at			0

spawn		1up
flip		1
coords		80 270 0
at			0

spawn		BasicX2 1
map			0
flip		1
coords		520 190 0
at			0

spawn		BongoX 1
map			1
flip		1
coords		580 250 0
at			0

spawn		BasicX2 1
map			1
flip		1
coords		540 210 0
at			0


spawn		BasicX2 1
map			0
flip		1
coords		560 230 0
at			0

spawn		BruceB 1
map			1
flip		1
coords		580 250 0
at			0

spawn		BasicX2 1
map			1
flip		1
coords		580 250 0
at			0

spawn		BasicX2 1
map			0
flip		1
coords		-100 210 0
at			0

wait
at			300

group		4 4
at			250

spawn		Garnet_Hide 1
map			0
flip		1
mp			5
coords		145 140 0
at			250

spawn		Garnet_Hide 1
map			0
flip		1
mp			10
coords		145 140 0
at			250

spawn		Garnet_Hide 1
map			0
flip		1
mp			15
coords		145 140 0
at			250

spawn		Garnet_Hide 1
map			0
flip		1
mp			20
coords		145 140 0
at			250

spawn		Garnet_Hide 1
map			0
flip		1
mp			5
coords		145 140 0
at			250

spawn		Slum_Hide1 1
map			0
flip		1
mp			10
coords		145 140 0
at			250

spawn		Garnet_Hide 1
