loadingbg		data/bgs/loading1.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st2a/_empty.png	0.8 1 0 0 0 0 -1 1 0
bglayer			data/bgs/sor3/st2a/bg00.png		0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
bglayer			data/bgs/sor3/st2a/bg01.png		0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1
panel			data/bgs/sor3/st2a/_map.png		none	none
fglayer			data/bgs/sor2/st2a/fg00.png		-175 0 0 -863 0 0 0 -1 -1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg01.png		-175 0 0 -863 0 0 0 -1 -1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg00.png		-75 0 0 -863 0 0 0 -1 -1 1 6 0 0 0 0 0 1
fglayer			data/bgs/sor2/st2a/fg01.png		-75 0 0 -863 0 0 0 -1 -1 1 6 0 0 0 0 0 1
fglayer			data/bgs/sor3/st2a/fg00.png		75 -0.11 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st2a/fg01.png		75 -0.11 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st2a/fg02.png		75 -0.11 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st2a/fg03.png		75 -0.11 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st2a/fg04.png		75 -0.11 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber		2
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st2a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

wall		1451 275 0 0 1000 1000 38 5000

#########################################################################################

load		Stage 3
load		RouteS 3
load		Route_Down 3
load		Route_Right 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		RoadBlock_B 1
flip		1
coords		140 180 0
at			0

spawn		Moto_Single 1
flip		0
mp			5
coords		520 180 0
at			100

spawn		Moto_Single 1
flip		1
coords		-50 200 0
at			100

spawn		Moto_Single 1
flip		0
coords		520 240 0
at			200

wait
at			350

group		2 2
at			300

spawn		Moto_Single 1
flip		0
coords		520 200 0
at			300

spawn		Moto_Single 1
flip		1
mp			5
coords		-50 220 0
at			300

group		1 1
at			300

spawn		Moto_Single 1
flip		0
mp			5
coords		520 200 0
at			300

spawn		Moto_Single 1
flip		0
coords		520 240 0
at			300

spawn		Moto_Repeat 1
flip		1
coords		600 240 0
at			300

group		1 2
at			300

spawn		Moto_Repeat 1
flip		0
coords		-100 180 0
at			300

spawn		SignalB 1
map			0
flip		1
coords		600 180 0
at			300

group		1 4
at			300

spawn		SignalX 1
map			0
flip		1
coords		-50 240 0
at			300

spawn		SignalB 1
map			1
flip		1
coords		-100 260 0
at			300

spawn		SignalX 1
map			0
flip		1
coords		550 180 0
at			300

spawn		SignalB 1
map			1
flip		1
coords		600 220 0
at			300

group		1 2
