loadingbg        data/bgs/loading2.png             1 -81 248 480 999 999 0
background        data/bgs/sor3/st3c/bk00.png        1 1 0 0 0 0 -1 1 0
bglayer            data/bgs/sor3/st3c/bg00.png        0 1 0 0 0 0 1 1 1
bglayer            data/bgs/sor3/st3c/bg01.png        0 1 0 0 0 0 1 1 1
bglayer            data/bgs/sor3/st3c/bg02.png        0 1 0 0 0 0 1 1 1
bglayer            data/bgs/sor3/st3c/bg03.png        0 1 0 0 0 0 1 1 1
panel            data/bgs/sor3/st3c/_map.png        none    none
fglayer            data/bgs/border.png             1000 1 1 0 0 0 0 -1 -1 1 2
order            a
settime        480
stagenumber     3
spawn1            60 10 300
spawn2            90 30 300
spawn3            120 10 300
spawn4            150 30 300
updatescript    data/scripts/updatelevel/sor3_st3c.c

#########################################################################################

light        128 -128
at            0

shadowalpha 2
at            0

#########################################################################################

hole         0 276 329 200 1000 1000 64 10

#########################################################################################

load        St3_Elevator 3

#########################################################################################

spawn        St3_Elevator 1
flip        1
coords        1 1 0
at            0

#########################################################################################

spawn        Barrel_B 1
flip        1
coords        100 220 0
at            0

spawn        Barrel_B 1
flip        1
coords        150 220 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -100 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -150 260 0
at            0

spawn        GarnetB 1
map            2
flip        0
coords        260 230 600
at            0

wait
at            0

#########################################################################################

group        5 5
at            1
wait
at            1

spawn        GarnetB 1
map            1
flip        0
coords        260 230 300
at            1

spawn        GarnetX 1
map            2
flip        1
coords        30 260 400
at            1

spawn        BasicX3 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX3 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BongoX 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX3 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -50 230 0
at            0

spawn        BasicX2 1
map            2
flip        1
coords        -100 260 0
at            0

spawn        GarnetB 1
map            1
flip        0
coords        260 230 500
at            1

spawn        GarnetX 1
map            2
flip        1
coords        -50 230 0
at            1

#########################################################################################

group        5 5
at            2
wait
at            2

spawn        BasicX1 1
map            2
flip        1
coords        -50 230 0
at            2

spawn        DonovanB 1
map            2
weapon        Pipe 1
flip        1
coords        -100 260 0
at            2

spawn        GarnetX 1
map            1
flip        0
coords        200 260 300
at            2

spawn        BasicX1 1
map            2
flip        1
coords        -150 230 0
at            2

spawn        BongoX 1
map            2
flip        1
coords        -150 230 0
at            2

spawn        BasicX1 1
map            2
flip        1
coords        -150 230 0
at            2

spawn        BasicX3 1
map            2
flip        1
coords        -150 230 0
at            2

spawn        BasicX1 1
map            2
flip        1
coords        -150 230 0
at            2

spawn        BasicX3 1
map            2
flip        1
coords        -150 230 0
at            2

