loadingbg		data/bgs/loading3.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st4a/_empty.png	0 1 0 0 0 0 1 1 0
bglayer			data/bgs/sor3/st4a/bg00.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor3/st4a/bg01.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor3/st4a/bg02.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor3/st4a/bg03.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor3/st4a/bg02.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor3/st4a/bg01.png		0.4 1 0 0 0 0 1 1 1
panel			data/bgs/sor3/st4a/_map.png		none	none
fglayer			data/bgs/sor3/st4a/fg00.png		-125 -0.5 0 0 0 0 0 -1 -1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st4a/fg00.png		75 -0.5 0 0 0 0 0 -1 -1 1 6 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber 	4
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st4a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		Stage 3
load		St4_RailsX2 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		St4_RailsX2 1
flip		1
coords		1 170 0
at			0

#########################################################################################

spawn		BasicX2 1
map			2
flip		1
coords		600 220 0
at			0

spawn		BasicX2 1
map			2
flip		1
coords		650 260 0
at			0

spawn		BasicX2 1
map			2
flip		1
coords		-100 220 0
at			0

spawn		BasicX2 1
map			2
flip		1
coords		-150 260 0
at			0

wait
at			200

group		4 4
at			150

spawn		BasicX2 1
map			2
flip		1
coords		-100 260 0
at			150

spawn		BasicX3 1
map			2
flip		1
coords		-50 220 0
at			150

spawn		BasicX2 1
map			2
flip		1
coords		-100 260 0
at			150

spawn		BasicX2 1
map			2
flip		1
coords		-100 260 0
at			150

spawn		BasicX3 1
map			2
flip		1
coords		650 260 0
at			150

spawn		BasicX2 1
map			2
flip		1
coords		750 260 0
at			150

spawn		BasicX3 1
map			2
flip		1
coords		600 220 0
at			150

spawn		BasicX2 1
map			2
flip		1
coords		650 260 0
at			150

spawn		BasicX2 1
map			2
flip		1
coords		700 220 0
at			150

spawn		BongoX 1
map			2
flip		1
coords		700 220 0
at			150

spawn		BossX1 1
map			4
flip		1
coords		-100 220 0
at			150

#########################################################################################

group		1000 1000
at			210

spawn		Galsia_Jump2 1
map			3
flip		0
coords		520 220 0
at			210

spawn		Galsia_Jump2 1
map			3
flip		0
coords		560 220 0
at			210

spawn		Galsia_Jump2 1
map			3
flip		0
coords		600 220 0
at			210

wait
at			450

group		1 3
at			300

spawn		BasicX1 1
map			2
flip		0
coords		120 240 300
at			300

spawn		BasicX1 1
map			2
flip		0
coords		240 240 400
