loadingbg		data/bgs/loading1.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st4c/bk00.png		0.6 1 0 0 0 0 -1 1 0
bglayer			data/bgs/sor3/st4c/bg00.png		0 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st4c/bg01.png		0 1 0 0 0 0 -1 1 1
panel			data/bgs/sor3/st4c/_map.png		none	none
fglayer			data/bgs/sor3/st4c/fg00.png		-200 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st4c/fg01.png		-200 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st4c/fg02.png		-200 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st4c/fg01.png		-200 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
noslow			1
settime		480
stagenumber 	4
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st4c.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		St4_Door1 3
load		St4_Door2 3
load		RouteS 3
load		Route_Up 3
load		Route_Right 3


#########################################################################################

spawn		St4_Door1 1
flip		1
coords		1 180 0
at			0

spawn		St4_Door2 1
flip		1
coords		1 180 0
at			0

#########################################################################################

spawn		Lantern 1
flip		1
coords		410 225 0
at			0

spawn		Lantern 1
flip		1
coords		550 225 0
at			0

group		1 1
at			0

spawn		Yamato_Wait1 1
map			5
boss    1
flip		1
coords		486 220 0
at			0

#########################################################################################
###CAUTION - ALL ENTITIES BELOW ARE NECESSARY FOR ALTERNATIVE ROUTES
###THE NUMBER OF "RouteS" ENTITIES NEED TO BE: MAX GROUP SIZE -1

group		1 2
at			240

spawn		RouteS 1
flip		1
coords		999 999 0
at			240

spawn		Route_Up 1
flip		1
coords		236 216 50
at			240

spawn		Route_Right 1
flip		1
coords		461 238 0
at			240
