loadingbg		data/bgs/loading2.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st5a/_empty.png	0 1 0 0 0 0 1 1 0
panel			data/bgs/sor3/st5a/_map.png		none	none
fglayer			data/bgs/sor3/st5a/fg00.png		75 -0.5 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/sor3/st5a/fg01.png		75 -0.5 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber 	5
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st5a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

wall		343 281 0 154 200 200 76 5000

#########################################################################################

load		Stage 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################


spawn		KusanagiB 1
map			0
flip		0
coords		160 220 300
at			30

spawn		KusanagiB 1
map			1
weapon		Kunai 1
flip		0
coords		320 220 400
at			30

spawn		KusanagiB 1
map			2
weapon		Sword 1
flip		0
coords		160 260 500
at			30

spawn		KusanagiX 1
map			3
flip		0
coords		320 260 600
at			30

spawn		KusanagiX 1
map			4
flip		0
coords		240 240 700
at			30

spawn		BruceB 1
map			4
flip		0
coords		240 240 700
at			30

group		4 4
at			30

spawn		BasicX3 1
map			0
flip		0
coords		160 220 300
at			30

spawn		KusanagiB 1
map			0
flip		0
coords		160 220 300
at			30

spawn		BasicX3 1
map			0
flip		0
coords		160 220 300
at			30

spawn		KusanagiX 1
map			1
flip		0
coords		320 220 400
at			30

spawn		BruceB 1
map			0
flip		0
coords		160 220 300
at			30

spawn		KusanagiB 1
map			2
weapon		Kunai 1
flip		0
coords		160 260 500
at			30

spawn		KusanagiX 1
map			3
flip		0
coords		320 260 600
at			30

spawn		BasicX3 1
map			0
flip		0
coords		160 220 300
at			30

spawn		KusanagiB 1
map			4
weapon		Sword 1
flip		0
coords		240 240 700
at			30

spawn		KusanagiB 1
map			5
flip		0
coords		160 220 300
at			30

#spawnscript data/scripts/levelspawn/music_random.c
#at			30

spawn		BossX1 1
map			0
flip		0
coords		-50 220 300
at			30

spawn		BossX1 1
map			0
2pspawn
flip		0
coords		-50 220 300
at			30
