loadingbg		data/bgs/loading1.png 			1 -81 248 480 999 999 0
background		data/bgs/sor3/st7a/bk00.png		0.675 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg00.png		0.425 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg01.png		0.425 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg02.png		0.475 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg03.png		0.375 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg04.png		0.575 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg05.png		0.575 1 0 0 0 0 -1 1 1
bglayer			data/bgs/sor3/st7a/bg06.png		0.575 1 0 0 0 0 -1 1 1
panel			data/bgs/sor3/st7a/_map.png		none	none
frontpanel		data/bgs/sor3/st7a/fp00.png
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
stagenumber		7
spawn1			60 20 300
spawn2			90 40 300
spawn3			120 20 300
spawn4			150 40 300
updatescript	data/scripts/updatelevel/sor3_st7a.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		Stage 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		Bin_B 1
flip		1
coords		150 220 0
at			0

spawn		Bin_B 1
flip		1
coords		200 220 0
at			0

spawn		Bin_B 1
flip		1
coords		450 220 0
at			0

spawn		Bin_B 1
flip		1
coords		500 220 0
at			0

spawn		Bin_B 1
flip		1
coords		750 220 0
at			0

spawn		Bin_B 1
flip		1
coords		800 220 0
at			0

spawn		BasicX1 1
map			4
flip		0
coords		600 245 0
at			0

spawn		BasicX1 1
map			4
flip		1
coords		-100 245 0
at			0

spawn		BasicX3 1
map			4
flip		1
coords		-100 245 0
at			0

spawn		BasicX3 1
map			4
flip		1
coords		-100 245 0
at			0

spawn		BongoX 1
map			4
flip		1
coords		-100 245 0
at			0

spawn		McBride_Wait 1
map			1
flip		0
coords		360 230 0
at			0

spawn		Maclean_Wait 1
map			1
flip		0
coords		400 260 0
at			0

wait
at			350

group		4 4
at			0

spawn		BasicX1 1
map			4
flip		1
coords		-100 230 0
at			0

spawn		BasicX2 1
map			4
flip		1
coords		-100 230 0
at			0

spawn		BasicX3 1
map			4
flip		1
coords		-100 230 0
at			0

spawn		BasicX1 1
map			4
flip		1
coords		-100 260 0
at			0

spawn		BongoX 1
map			4
flip		0
coords		600 230 0
at			0

spawn		BasicX2 1
map			4
flip		0
coords		600 260 0
at			0

spawn		BasicX1 1
map			4
flip		1
coords		-100 230 0
at			0

spawn		BruceB 1
map			4
flip		1
coords		-100 230 0
at			0

spawn		BossX1 1
map			4
flip		1
coords		-50 230 0
at			0

spawn		BossX1 1
map			4
2pspawn
flip		1
coords		-50 230 0
at			0

#########################################################################################

group		1000 1000
at			360

spawn		Bin_B 1
flip		1
coords		520 220 0
at			360

spawn		Bin_B 1
flip		1
coords		570 220 0
at			360

spawn		Bin_B 1
flip		1
coords		900 220 0
at			360

spawn		Bin_B 1
flip		1
coords		950 220 0
at			360

spawn		McBride_Wait 1
map			1
flip		0
coords		600 230 0
at			400

spawn		Maclean_Wait 1
map			1
flip		0
coords		650 260 0
at			400

spawn		Electra_Wait 1
map			2
flip		0
coords		700 230 0
at			400

spawn		Electra_Wait 1
map			2
flip		0
coords		750 260 0
at			400

spawn		BongoX 1
map			4
flip		0
coords		800 245 0
at			400


spawnscript data/scripts/levelspawn/music_random.c
at			400

group		4 4
at			400

spawn		ElectraX 1
map			4
flip		0
coords		550 245 0
at			400

spawn		BasicX3 1
map			4
flip		0
coords		600 245 0
at			400

group		1 3
at			400

spawn		BongoX 1
map			4
flip		0
coords		550 245 0
at			400

spawn		ElectraX 1
map			4
flip		0
coords		-50 245 0
at			400

spawn		BodyGuardX 1
map			4
flip		0
coords		-100 245 0
at			400

group		4 4
at			400

spawn		BasicX3 1
map			4
flip		0
coords		550 245 0
at			400

spawn		BodyGuardX 1
map			4
flip		0
coords		600 245 0
at			400

spawn		ElectraX 1
map			4
flip		0
coords		-50 245 0
at			400

spawn		BongoX 1
map			4
flip		0
coords		-100 245 0
at			400

spawn		ElectraX 1
map			4
flip		0
coords		550 245 0
at			400

spawn		BossX1 1
map			4
flip		0
coords		500 245 0
at			400

spawn		BossX1 1
map			4
2pspawn
flip		0
coords		500 245 0
at			400
