loadingbg	data/bgs/loading4.png 			1 -81 248 480 999 999 0
background	data/bgs/sor3/st8a/bk00.png		0.6 1 0 0 0 0 -1 1 1
bglayer		data/bgs/sor3/st8a/bg00.png		0.3 1 0 0 0 0 -1 1 1
panel		data/bgs/sor3/st8a/_map.png		none	none
frontpanel	data/bgs/sor3/st8a/fp00.png
fglayer		data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order		a
settime		480
stagenumber 8
spawn1		60 20 300
spawn2		90 40 300
spawn3		120 20 300
spawn4		150 40 300

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		Stage 3
load		St8_Bush 3

#########################################################################################

spawn		Stage 1
flip		1
coords		-107 80 0
at			0

#########################################################################################

spawn		Box_E 1
flip		1
coords		320 216 0
at			0

spawn		Box_E 1
flip		1
coords		520 216 0
at			0

spawn		Trap 1
flip		1
coords		200 240 0
at			0

spawn		Trap 1
flip		1
coords		400 240 0
at			0

spawn		KusanagiX 1
map			4
flip		0
coords		240 240 300
at			0

spawn		KusanagiB 1
map			4
weapon		Sword 1
flip		0
coords		320 240 400
at			0

spawn		KusanagiX 1
map			4
flip		0
coords		400 240 500
at			0

wait
at			300

group		3 3
at			100

spawn		KusanagiX 1
map			4
flip		0
coords		400 240 300
at			100

spawn		Moto_Single 1
flip		0
coords		520 240 0
at			100

group		1 2
at			200

spawn		Moto_Single 1
flip		0
coords		520 260 0
at			200

spawn		Moto_Single 1
flip		0
mp			5
coords		560 240 0
at			200

group		1 1
at			200

spawn		Moto_Single 1
flip		0
coords		520 240 0
at			200

group		1 2
at			200

spawn		Moto_Repeat 1
flip		1
coords		600 240 0
at			200

spawn		Moto_Single 1
flip		0
mp			5
coords		520 260 0
at			200

group		1 2
at			200

spawn		Moto_Single 1
flip		0
coords		520 220 0
at			200

spawn		Moto_Single 1
flip		0
mp			5
coords		560 240 0
at			200

spawn		Moto_Repeat 1
flip		1
coords		600 240 0
at			200

spawn		Moto_Single 1
flip		0
mp			5
coords		520 260 0
at			200

group		1 4
at			200

spawn		St8_Bush 1
flip		1
coords		340 205 0
at			200

spawn		Kusanagi_Bush 1
map			5
weapon		Sword 1
flip		1
coords		340 205 0
at			200

spawn		KusanagiX 1
map			4
flip		0
coords		160 240 300
at			200

spawn		BruceB 1
map			4
flip		0
coords		160 240 300
at			200


spawn		KusanagiB 1
map			3
weapon		Kunai 1
flip		0
coords		240 240 400
at			200

spawn		KusanagiX 1
map			4
flip		0
coords		320 240 400
at			200

spawn		BossX1 1
map			4
flip		0
coords		320 240 400
at			200

spawn		BossX1 1
map			4
2pspawn
flip		0
coords		320 240 400
at			200

#########################################################################################

group		1000 1000
at			310

spawn		St8_Bush 1
flip		1
coords		520 205 0
at			320

spawn		Kusanagi_Bush 1
map			5
weapon		Sword 1
flip		1
coords		520 205 0
at			320

spawn		Box_E 1
flip		1
coords		600 216 0
at			350

spawn		Box_E 1
flip		1
coords		1000 216 0
at			350

spawn		Trap 1
flip		1
coords		520 240 0
at			350

spawn		Trap 1
flip		1
coords		720 240 0
at			350

spawn		Trap 1
flip		1
coords		920 240 0
at			350

spawn		P1X 1
map			4
flip		0
coords		550 230 0
at			400

spawn		BruceB 1
map			4
flip		0
coords		550 230 0
at			400

spawn		P1X 1
map			4
flip		0
coords		600 260 0
at			400

spawn		P1X 1
map			4
flip		0
coords		-100 245 0
at			450

group		1 2
at			500

spawn		P1X 1
map			4
flip		0
coords		550 230 0
at			500

spawn		P1X 1
map			4
flip		0
coords		-50 230 0
at			500

spawnscript data/scripts/levelspawn/music_random.c
at			900

group		4 4
at			1043

spawn		St8_Bush 1
flip		1
coords		309 205 0
at			1043

spawn		Kusanagi_Bush 1
map			5
weapon		Sword 1
flip		1
coords		309 205 0
at			1043

spawn		BruceB 1
map			4
flip		0
coords		-100 260 0
at			1043

spawn		KusanagiX 1
map			4
flip		0
coords		-50 230 0
at			1043

spawn		P1X 1
map			4
flip		0
coords		600 230 0
at			1043

spawn		BossX1 1
map			4
flip		0
coords		-100 260 0
at			1043

spawn		BossX1 1
map			4
2pspawn
flip		0
coords		-100 260 0
at			1043

spawn		P1X 1
map			4
flip		0
coords		600 230 0
at			1043

spawn		P1X 1
map			4
flip		0
coords		650 260 0
at			1043
