loadingbg		data/bgs/loading1.png 			1 -81 248 480 999 999 0
background		data/bgs/sor2/st4d/_empty.png	0.8 1 0 0 0 0 1 1 0 0
bglayer			data/bgs/sor2/st4d/bg00.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st4d/bg01.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st4d/bg02.png		0.4 1 0 0 0 0 1 1 1
bglayer			data/bgs/sor2/st4d/bg03.png		0.4 1 0 0 0 0 1 1 1
panel			data/bgs/sor2/st4d/_map2.png	none	none
frontpanel		data/bgs/sor2/st4d/fp00.png
fglayer			data/bgs/border.png 			1000 1 1 0 0 0 0 -1 -1 1 2
order			a
settime		480
direction		left
spawn1			270 20 300
spawn2			240 40 300
spawn3			210 20 300
spawn4			180 40 300
updatescript	data/scripts/updatelevel/sor2_st4d.c

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

load		Fight 3

#########################################################################################

spawnscript data/scripts/levelspawn/flip_dir.c
at			0

#spawnscript data/scripts/levelspawn/sample.c
#at			0

spawn		Fight 1
flip		1
coords		-120 0 0
at			0

#########################################################################################

spawn		Box_A 1
flip		1
coords		110 180 0
at			0

spawn		Barrel_A 1
flip		1
coords		200 180 0
at			0

spawn		Bin_A 1
flip		1
coords		290 180 0
at			0

spawn		Tire 1
flip		1
coords		380 180 0
at			0

spawn		Box_C 1
flip		1
coords		110 260 0
at			0

spawn		Barrel_B 1
flip		1
coords		200 260 0
at			0

spawn		Bin_B 1
flip		1
coords		290 260 0
at			0

spawn		Floater 1
flip		1
coords		380 260 0
at			0

spawn		Knife
flip		0
coords		230 200 0
at			0

spawn		Sword
flip		0
coords		230 220 0
at			0

spawn		Kunai
flip		0
coords		300 200 0
at			0

spawn		Pipe
flip		0
coords		300 220 0
at			0

#########################################################################################

spawnscript data/scripts/levelspawn/next.c
at      0

spawn		BossX1 1
map			4
flip		0
coords		440 200 200
at			0

spawn		BossX1 1
map			4
2pspawn
flip		1
coords		40 200 250
at			0

spawn		BossX1 1
map			4
3pspawn
flip		0
coords		440 220 300
at			0

spawn		BossX1 1
map			4
4pspawn
flip		1
coords		40 220 350
at			0

wait
at			0

#########################################################################################

spawnscript data/scripts/levelspawn/nextGO.c
at			6

spawn		BossX1 1
map			4
flip		1
coords		440 220 200
at			6

spawn		BarbonB 1
map			4
2pspawn
flip		0
coords		440 220 250
at			6

spawn		BarbonB 1
map			4
3pspawn
flip		1
coords		40 220 300
at			6

spawn		BossX1 1
map			4
4pspawn
flip		0
coords		440 220 350
at			6

wait
at			6

#########################################################################################

spawnscript data/scripts/levelspawn/nextGO.c
at			9

spawn		BossX1 1
map			4
flip		1
coords		40 220 200
at			9

spawn		JetB 1
map			4
2pspawn
flip		0
coords		40 220 250
at			9

spawn		JetB 1
map			4
3pspawn
flip		1
coords		440 220 300
at			9

spawn		BossX1 1
map			4
4pspawn
flip		0
coords		40 220 350
at			9

wait
at			9

#########################################################################################

spawnscript data/scripts/levelspawn/nextGO.c
at			12

spawn		BossX1 1
map			4
flip		1
coords		440 220 200
at			12

spawn		ZamzaB 1
map			4
2pspawn
flip		0
coords		40 220 250
at			12

spawn		ZamzaB 1
map			4
3pspawn
flip		1
coords		40 220 300
at			12

spawn		BossX1 1
map			4
4pspawn
flip		0
coords		40 220 350
at			12

wait
at			12

#########################################################################################

spawnscript data/scripts/levelspawn/nextGO.c
at			15

spawn		BossX1 1
map			4
flip		1
coords		40 220 200
at			15

spawn		AbadedeB 1
map			4
2pspawn
flip		1
coords		40 220 250
at			15

spawn		AbadedeB 1
map			4
